name,ID,ADDRESS,CITY,zip,Shape,PHONE,TYPE,URL
Cafe Sutra,92,639A 5th Ave,Brooklyn,11215,"(40.662813250000056, -73.99160885999993)",718-499-0279,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Cafe_Sutra_New_York_NY_5519.aspx
MishMash,93,1103 Kings Highway,Brooklyn,11229,"(40.60766711500008, -73.9616191959999)",718-375-5100,Free,http://www.mishmashgourmet.com
Naidre's,94,384 Seventh Avenue,Brooklyn,11215,"(40.66543357200004, -73.9830620649999)",718-965-7585,Free,http://www.naidres.com/
Polytechnic University Bern Dibner Library of Science & Technology,95,Five Metrotech Center,Brooklyn,11201,"(40.69462489400007, -73.9856263719999)",718-260-3600,Free,http://www.poly.edu/research/library
St. Francis College McGarry Library,96,180 Remsen Street,Brooklyn,11201,"(40.69306892800006, -73.99210990299991)",718-489-5201,Free,http://library.stfranciscollege.edu/
Kitty Kiernans Bar,97,9715 third avenue,Brooklyn,11209,"(40.61525506800007, -74.03413135599993)",718-921-0217,Free,http://www.kittykiernans.com/
Atlas Caf̩,98,116 Havemeyer St.,Brooklyn,11211,"(40.71299634600007, -73.95686202899992)",718-782-7470,Free,http://www.yelp.com/biz/atlas-cafe-brooklyn
Bread Stuy,99,401 Lewis Ave,Brooklyn,11233,"(40.681547280000075, -73.93460066199992)",718-771-0633,Free,http://breadstuy.com/main.html
Healthy Nibbles,101,305 Flatbush Ave,Brooklyn,11217,"(40.678743876000055, -73.97326668199992)",718-636-5835,Free,http://hotspotr.com/spot/1456
Postmark Cafe,102,326 6th street,Brooklyn,11215,"(40.67104147200007, -73.98539300099992)",718-768-2613,Free,http://www.yelp.com/biz/postmark-cafe-brooklyn
Tillies,103,248 DeKalb Avenue,Brooklyn,11205,"(40.68925260900005, -73.9692635589999)",718-783-8691,Free,http://tilliesofbrooklyn.com/
Brooklyn Lyceum coffee shop,104,225 4th Ave,Brooklyn,11215,"(40.676802431000056, -73.98303393999993)",718 857-4816,Free,http://www.superpages.com/cities/mtg/wifi-1258829/
Gorilla Coffee,105,97 Fifth Ave,Brooklyn,11217,"(40.67970554900006, -73.97800012699992)",718-230-3244,Free,http://hotspotr.com/spot
Heights Coffee,106,335 Flatbush Ave,Brooklyn,11217,"(40.67778304700005, -73.97259288499993)",718-638-1936,Free,http://www.heightscoffee.com/
Outpost Lounge,107,1014 Fulton St.,Brooklyn,11238,"(40.681896616000074, -73.96028210899993)",718-636-1260,Free,http://www.outaboutbrooklyn.com/outpost-lounge/
Tea Lounge,108,837 Union Street,Brooklyn,11215,"(40.67494846200009, -73.97603331199991)",718-768-4966,Free,http://www.yelp.com/biz/tea-lounge-brooklyn
Prospect Perk Cafe,109,183 Sterling Pl,Brooklyn,11238,"(40.676588862000074, -73.97173534099994)",718-783-7375,Free,http://www.yelp.com/biz/prospect-perk-cafe-brooklyn
Mama B's,111,351 Graham Avenue,Brooklyn,11211,"(40.714942664000034, -73.94468265499995)",718-599-8859,Free,http://newyork.timeout.com/restaurants/williamsburg/2644/mama-bs-cafe-and-juice-bar
Supercore,113,305 Bedford Avenue,Brooklyn,11211,"(40.713453704000074, -73.9617494609999)",718-302-1629,Free,http://www.yelp.com/biz/supercore-brooklyn
The Greenpoint Coffee House,114,195 Franklin Street,Brooklyn,11222,"(40.73351948100009, -73.95843277299991)",718-349-6635,Free,http://www.yelp.com/biz/greenpoint-coffee-house-brooklyn-2
The Archive,116,49 Bogart St,Brooklyn,11206,"(40.70527521200006, -73.93355667799995)",718-381-1944,Free,http://www.yelp.com/biz/the-archive-cafe-brooklyn
Lucky Cat,117,245 Grand Street,Brooklyn,11211,"(40.71368872100004, -73.95875896399991)",718-782-0437,Free,http://www.yelp.com/biz/the-lucky-cat-brooklyn
Southside Caffe,120,229 S 4th Street,Brooklyn,11211,"(40.71059818200007, -73.9589340149999)",718-388-4642,Free,http://www.blockmagazine.com/block_stock_barrel.php?title=lstronggcaught_in_the_wireless_webl_stro&more=1&c=1&tb=1&pb=1
Tavern on Nostrand,1214,813 Nostrand Avenue,Brooklyn,11225,"(40.66871938400004, -73.95033637699993)",,Free,http://www.wififreespot.com/ny.html
Tea Lounge,1224,254 Court Street,Brooklyn,11231,"(40.685304905000066, -73.99478634399992)",,Free,http://www.wififreespot.com/ny.html
Coffee Den,1254,144 Union Street,Brooklyn,11231,"(40.68383485900006, -74.00186003399995)",,Free,http://www.wififreespot.com/ny.html
Crest Caf̩,1255,463 Union Avenue,Brooklyn,11211,"(40.71432482800009, -73.95167758299993)",,Free,http://www.wififreespot.com/ny.html
Lindenwood diner,1260,2870 Linden Boulevard,Brooklyn,11208,"(40.66979990500005, -73.85748230799993)",,Free,http://www.lindenwooddiner.com/reviews.html
Saje Caf̩,1261,710 Franklin Avenue,Brooklyn,11238,"(40.67448955200007, -73.95677135599993)",,Free,http://www.wififreespot.com/ny.html
The Mark Bar,1262,1025 Manhattan Avenue,Brooklyn,11222,"(40.733968366000056, -73.95513064499994)",,Free,http://www.wififreespot.com/ny.html
Gimme Coffee,1269,495 Lorimer Street,Brooklyn,11211,"(40.711691647000066, -73.94924404699992)",,Free,http://www.wififreespot.com/ny.html
Grille de Paris Restaurant,1270,904 Kings Hwy,Brooklyn,11223,"(40.60658591200007, -73.9634749249999)",,Free,http://www.wififreespot.com/ny.html
Kdog & dunebuggy Coffee,1272,43 Lincoln Road,Brooklyn,11225,"(40.66081094100008, -73.96134712899993)",,Free,http://www.wififreespot.com/ny.html
Le Gamin,1273,556 Vanderbilt Avenue,Brooklyn,11238,"(40.680016796000075, -73.96828472699991)",,Free,http://www.wififreespot.com/ny.html
Business Coffeshop,1285,623 Grand Street,Brooklyn,11211,"(40.71153061700005, -73.94713310399993)",,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Business_Brooklyn_NY_32212.aspx
Potion Caf̩,1286,248 McKibbin Street,Brooklyn,11206,"(40.705521944000054, -73.93709853199994)",,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Potion_Cafe_New_York_NY_5870.aspx
Smooch,1287,264 Carlton Avenue,Brooklyn,11205,"(40.689798316000065, -73.9723430279999)",,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Smooch_New_York_NY_6738.aspx
Buffalo Wild Wings Grill & Bar,1288,139 Flatbush Avenue,Brooklyn,11217,"(40.684290230000045, -73.97710532199994)",,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Buffalo_Wild_Wings_Grill_and_Bar_Brooklyn_NY_329.aspx
Goodbye Blue Monday,1289,1087 Broadway,Brooklyn,11221,"(40.69457332400009, -73.93050744199991)",,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Goodbye_Blue_Monday_New_York_NY_19745.aspx
Joyce Bakeshop,1290,646 Vanderbilt Avenue,Brooklyn,11238,"(40.67717928500008, -73.96939953899994)",,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Joyce_Bakeshop_Brooklyn_NY_24637.aspx
Solomon's Porch,1291,307 Stuyvesant Avenue,Brooklyn,11233,"(40.68399249200007, -73.93198597999992)",,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Solomons_Porch_New_York_NY_6742.aspx
CDSC Clinton Hill,1292,352 Classon Avenue,Brooklyn,11238,"(40.68846400500007, -73.96021029299993)",,Free,https://auth.nycwireless.net/hotspots_map.php
Co Labs,1293,247  Stuyvesant Avenue,Brooklyn,11221,"(40.686290633000056, -73.93247164899992)",,Free,https://auth.nycwireless.net/hotspots_map.php
Barnes & Noble,1326,222 Clinton Avenue,Brooklyn,11205,"(40.69133630600004, -73.96899430799994)",,Free,http://www.barnesandnobleinc.com
Naidre's,895,502 Henry Street,Brooklyn,11231,"(40.684092226000075, -73.9996477059999)",718-596-3400,Free,http://www.naidres.com/
Amazon Caf̩,897,227 Smith St,Brooklyn,11231,"(40.683936104000054, -73.99210308699992)",718-852-5948,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Amazon_Cafe_New_York_NY_5572.aspx
Barnes & Noble,915,106 Court Street,Brooklyn,11201,"(40.69071597900006, -73.99218548599993)",,Free,http://www.barnesandnobleinc.com
Barnes & Noble,916,267 7th Avenue,Brooklyn,11215,"(40.668876827000076, -73.97953352999991)",,Free,http://www.barnesandnobleinc.com
Queens Library - Cambria Heights,963,218-13 Linden Boulevard,Cambria Heights,11411,"(40.69570922400004, -73.7411667959999)",718-528-3535,Free,http://www.queenslibrary.org/
Queens Library - Poppenhusen,989,121-23 14 Avenue,College Point,11356,"(40.78624946800005, -73.84601327899992)",718-359-1102,Free,http://www.queenslibrary.org/
Queens Library - Corona,124,38-23 104 Street,Corona,11368,"(40.75089541400007, -73.8619766349999)",718-426-2844,Free,http://www.queenslibrary.org/
Queens Library - Langston Hughes,128,100-01 Northern Boulevard,Corona,11368,"(40.75771242500008, -73.8681998639999)",718-651-1100,Free,http://www.queenslibrary.org/
Astroval Travel,142,103-16 Roosevelt Ave,Corona,11368,"(40.749410615000045, -73.86206993999991)",718-446-3912,Free,http://v4.jiwire.com/wi-fi-wireless-hotspot-Corona-New-York-NY-US-Astroval-Travel-1086848.htm
Queens Library - Lefrak City,979,98-30 57 Avenue,Corona,11368,"(40.73744514300006, -73.86166525699991)",718-592-7677,Free,http://www.queenslibrary.org/
Queens Library - East Elmhurst,126,95-06 Astoria Boulevard,East Elmhurst,11369,"(40.762423262000084, -73.8738652049999)",718-424-2619,Free,http://www.queenslibrary.org/
Pop Diner,1276,86-02 Queens Boulevard,Elmhurst,11373,"(40.73663409200009, -73.87749359599991)",,Free,http://www.popdiner.com/
la Fusta Restaurant,1282,80-32 Baxter Avenue,Elmhurst,11373,"(40.744694275000086, -73.88431611599992)",,Free,http://www.lafustarestaurant.com
Queens Library - Elmhurst  (ALC),966,86-01 Broadway,Elmhurst,11373,"(40.73858179100006, -73.87675876499992)",718-271-1020,Free,http://www.queenslibrary.org/
Queens Library - Far Rockaway,967,1637 Central Avenue,Far Rockaway,11691,"(40.604486543000064, -73.75264129099992)",718-327-2549,Free,http://www.queenslibrary.org/
LaGuardia Airport - Continental Airlines Presidents Club,1139,"Concourse A, third level",Flushing,11371,"(40.77394694900005, -73.87021737599991)",718-505-7435,Free,http://www.continental.com/web/en-US/content/travel/airport/lounge/detaillocations.aspx#New%20York
LaGuardia Airport - Northwest WorldClubs Lounge,1141,Behind the Northwest ticket counter,Flushing,11371,"(40.76856292700006, -73.8615473289999)",718-476-7196,Free,http://www.continental.com/web/en-US/content/travel/airport/lounge/detaillocations.aspx#New%20York
Queens Library - Auburndale,956,25-55 Francis Lewis Boulevard,Flushing,11358,"(40.77375244500007, -73.7963431849999)",718-352-2027,Free,http://www.queenslibrary.org/
Queens Library - East Flushing,965,196-36 Northern Boulevard,Flushing,11358,"(40.75754601300008, -73.78430296599993)",718-357-6643,Free,http://www.queenslibrary.org/
Queens Library - Flushing  (ALC),968,41-17 Main Street,Flushing,11355,"(40.75779210600007, -73.82886230699995)",718-661-1200,Free,http://www.queenslibrary.org/
Queens Library - Hillcrest,973,187-05 Union Turnpike,Flushing,11366,"(40.729253278000044, -73.78190891699995)",718-454-2786,Free,http://www.queenslibrary.org/
Queens Library - Kew Gardens Hills,976,72-33 Vleigh Place,Flushing,11367,"(40.725918817000036, -73.82071906999994)",718-261-6654,Free,http://www.queenslibrary.org/
Queens Library - McGoldrick,981,155-06 Roosevelt Avenue,Flushing,11354,"(40.76375065000008, -73.80983348299992)",718-461-1616,Free,http://www.queenslibrary.org/
Queens Library - Mitchell-Linden,983,29-42 Union Street,Flushing,11354,"(40.77112585800006, -73.82691581099994)",718-539-2330,Free,http://www.queenslibrary.org/
Queens Library - Pomonok,988,158-21 Jewel Avenue,Flushing,11365,"(40.73303457500003, -73.80987988599992)",718-591-4343,Free,http://www.queenslibrary.org/
Queens Library - Queensboro Hill,991,60-05 Main Street,Flushing,11355,"(40.74293128100004, -73.82516996499993)",718-359-8332,Free,http://www.queenslibrary.org/
Modus Vivendi,136,72-07 Austin Street,Forest Hills,11375,"(40.71928919000004, -73.84246057399992)",718-997-0500,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Modus_Vivendi_Tea_and_Cafe_Glry_Forest_HillsQueens_NY_14949.aspx
Munch Cafe' & Grill,141,7160 Yellowstone Blvd,Forest Hills,11375,"(40.72144744600007, -73.85568821499993)",718-544-0075,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Munch_Cafe_and_Grill_Forest_HillsQueens_NY_15107.aspx
Barnes & Noble,1330,70-00 Austin Street,Forest Hills,11375,"(40.72077559300004, -73.84691655099994)",,Free,http://www.barnesandnobleinc.com
Queens Library - Forest Hills,969,108-19 71 Avenue,Forest Hills,11375,"(40.72214728800009, -73.8430149969999)",718-268-7934,Free,http://www.queenslibrary.org/
Queens Library - North Forest Park,984,98-27 Metropolitan Avenue,Forest Hills,11375,"(40.71118596300005, -73.85367277799992)",718-261-5512,Free,http://www.queenslibrary.org/
Barnes & Noble,1331,176-60 Union Turnpike,Fresh Meadows,11366,"(40.72567918300007, -73.7910210359999)",,Free,http://www.barnesandnobleinc.com
Queens Library - Fresh Meadows,970,193-20 Horace Harding Expressway,Fresh Meadows,11365,"(40.74154362200005, -73.78227583199993)",718-454-7272,Free,http://www.queenslibrary.org/
Queens Library - Glendale,972,78-60 73 Place,Glendale,11385,"(40.70257699800004, -73.87579710799992)",718-821-4980,Free,http://www.queenslibrary.org/
Panera Bread,1210,7325 Woodhaven Boulevard,Glendale,11385,"(40.71010737600005, -73.85876661499992)",,Free,http://www.panerabread.com/cafes/results.php?NAV=2&state=NY&zip=&city=&address=&radius=10&action=searchwifi
Queens Library - Hollis,974,202-05 Hillside Avenue,Hollis,11423,"(40.72016876500004, -73.76230411099993)",718-465-7355,Free,http://www.queenslibrary.org/
Queens Library - Howard Beach,975,92-06 156 Avenue,Howard Beach,11414,"(40.66380479600008, -73.8417968629999)",718-641-7086,Free,http://www.queenslibrary.org/
Queens Library - Jackson Heights,127,35-51 81 Street,Jackson Heights,11372,"(40.75019615500008, -73.88506957599992)",718-899-2500,Free,http://www.queenslibrary.org/
JFK International Airport - Continental Airlines Presidents Club,1137,Terminal 3 near Gate 6,Jamaica,11430,"(40.63824581200004, -73.7852876199999)",,Free,http://www.continental.com/web/en-US/content/travel/airport/lounge/detaillocations.aspx#New%20York
Queens Library - South Jamaica,999,108-41 Guy R. Brewer Boulevard,Jamaica,11433,"(40.69554154400004, -73.79022813699993)",718-739-4088,Free,http://www.queenslibrary.org/
JFK International Airport - Jet Blue,1027,Terminal 5,Jamaica,11430,"(40.64577850300009, -73.77556267199992)",,Free,http://www.jetblue.com/about/whyyoulllike/about_WhyWireless.html
Queens Library - Central Library  (ALC),123,89-11 Merrick Boulevard,Jamaica,11432,"(40.70783676000008, -73.79464232599992)",718-990-0700,Free,http://www.queenslibrary.org/
Queens Library - Baisley Park,957,117-11 Sutphin Boulevard,Jamaica,11436,"(40.680311645000074, -73.7916786099999)",718-529-1590,Free,http://www.queenslibrary.org/
Queens Library - Rochdale Village  (ALC),995,169-09 137 Avenue,Jamaica,11434,"(40.672875538000085, -73.77059021499991)",718-723-4440,Free,http://www.queenslibrary.org/
Queens Library - Laurelton,977,134-26 225 Street,Laurelton,11413,"(40.67695306100006, -73.74567356199992)",718-528-2822,Free,http://www.queenslibrary.org/
Queens Library - Douglaston/Little Neck,964,249-01 Northern Boulevard,Little Neck,11362,"(40.76822576400008, -73.73822944099993)",718-225-8414,Free,http://www.queenslibrary.org/
Queens Library - North Hills,985,57-04 Marathon Parkway,Little Neck,11362,"(40.759245468000074, -73.73182667799995)",718-225-3550,Free,http://www.queenslibrary.org/
Panera Bread,1207,25441 Horace Harding Expressway,Little Neck,11362,"(40.764932172000044, -73.72606140899995)",,Free,http://www.panerabread.com/cafes/results.php?NAV=2&state=NY&zip=&city=&address=&radius=10&action=searchwifi
Queens Library - Sunnyside,1002,43-06 Greenpoint Avenue,Long Island City,11104,"(40.74080911500005, -73.92166915999991)",718-784-3033,Free,http://www.queenslibrary.org/
Queens Library - Astoria,121,14-01 Astoria Boulevard,Long Island City,11102,"(40.77238426900004, -73.92872041899994)",718-278-2220,Free,http://www.queenslibrary.org/
Queens Library - Broadway,122,40-20 Broadway,Long Island City,11103,"(40.75853035400007, -73.91862469199992)",718-721-2462,Free,http://www.queenslibrary.org/
Queens Library - Court Square,125,25-01 Jackson Avenue,Long Island City,11101,"(40.74706432500005, -73.94424455799992)",718-937-2790,Free,http://www.queenslibrary.org/
Queens Library - Steinway (ALC),131,21-45 31 Street,Long Island City,11105,"(40.77681718800005, -73.90941694199995)",718-728-1965,Free,http://www.queenslibrary.org/
Queens City Bakery & Cafe,137,2405 Jackson Ave,Long Island City,11101,"(40.74632636000007, -73.94501749299991)",718-361-5700,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Queens_City_Bakery_Cafe_New_York_NY_22669.aspx
Ten63 Caf̩,138,1063 Jackson Avenue,Long Island City,11101,"(40.74295360000008, -73.95238940099995)",718-482-7679,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Ten63_Cafe_Queens_NY_17273.aspx
Communitea,139,4702 Vernon Blvd,Long Island City,11101,"(40.74541059900008, -73.95348475299994)",718-729-7708,Free,http://www.yelp.com/biz/communitea-long-island-city
Speedimpex USA,143,35-02 48th Ave,Long Island City,11101,"(40.74024430500003, -73.93037507799994)",,Free,http://v4.jiwire.com/wi-fi-wireless-hotspot-Long-Island-City-New-York-NY-US-Speedimpex-USA-1133526.htm
Panera Bread,1211,38-01 35th Avenue,Long Island City,11101,"(40.755632537000054, -73.92246282399992)",,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Panera_Bread_Long_Island_City_NY_87229.aspx
Queens Library - Long Island City,1178,37-44 21 Street,Long Island City,11101,"(40.757809268000074, -73.93930490299994)",718-752-3700,Free,http://www.queenslibrary.org/
Thomas Jefferson Park Recreation Center Building,1361,"1 Avenue, East 111 to 114 streets",Manhattan,10029,"(40.793633972000066, -73.93674694299995)",,Free,http://www.nycgovparks.org/parks/thomasjeffersonpark
"Battery Park, around Battery Gardens",1362,17 State Street,Manhattan,10004,"(40.70154456600005, -74.0147714869999)",,Free,http://www.nycgovparks.org/parks/batterypark
MTA 14th St station (A)(C)(E),0,14th St & 8th Av,Manhattan,10011,"(40.73975266100007, -74.0025238149999)",877-690-5116,Free,http://www.mta.info
MTA 14th St station (F)(M),0,14th St & 6th Av,Manhattan,10011,"(40.73736090700004, -73.99683993799994)",877-690-5116,Free,http://www.mta.info
MTA 23rd St station (C)(E),0,23rd St & 8th Av,Manhattan,10011,"(40.745294182000066, -73.99848652499992)",877-690-5116,Free,http://www.mta.info
Queens Library - Maspeth,980,69-70 Grand Avenue,Maspeth,11378,"(40.72709375800008, -73.89296053299995)",718-639-5228,Free,http://www.queenslibrary.org/
Queens Library - Middle Village,982,72-31 Metropolitan Avenue,Middle Village,11379,"(40.71294390200006, -73.88086427499991)",718-326-1390,Free,http://www.queenslibrary.org/
Whole Foods Market,1304,270 Greenwich Street,New Yor k,10007,"(40.71548742500005, -74.01151341399992)",,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Whole_Foods_Market_New_York_NY_89527.aspx
111 Wadsworth Ave,1115,111 Wadsworth Ave,New York,10033,"(40.84807994600004, -73.93587786099994)",212-568-3417,Free,http://v4.jiwire.com/wi-fi-wireless-hotspot-New-York-New-York-NY-US-111-Wadsworth-Avenue-17B-1284187.htm
404 W 54th Street,1117,404 W 54th Street,New York,10019,"(40.76611954300006, -73.98791631199992)",,Free,
Barnes & Noble,1120,396 Avenue of the Americas,New York,10011,"(40.73336500100004, -73.99938299299993)",212-674-8780,Free,http://www.barnesandnobleinc.com
Gizzi's Coffee,1131,16 W. 8th Street,New York,10011,"(40.732595090000075, -73.99755181599994)",212-260-9700,Free,http://www.openwifinyc.com/classic/a/Gizzis-Coffee-NY-10011
Wagner Park,1175,Battery  Place & 1 Place,New York,10280,"(40.705118249000066, -74.0183821519999)",,Free,http://www.nycwireless.net/press/wagner-park-gets-hotter-with-wi-fi/
NYC Public Library - 67th Street Branch,154,328 East 67th Street,New York,10021,"(40.76491430900006, -73.95955031799991)",212-734-1717,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - 115th Street,155,203 West 115th Street,New York,10026,"(40.80298150100003, -73.95353121199992)",212-666-9393,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - 125th Street,156,224 East 125th Street,New York,10035,"(40.80301911500004, -73.9348461319999)",212-534-5050,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Aguilar,157,174 East 110th Street,New York,10029,"(40.79418564000008, -73.9434647249999)",212-534-2930,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Chatham Square,158,33 East Broadway,New York,10002,"(40.71333374500006, -73.99649021999994)",212-964-6598,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Countee Cullen,159,104 West 136th Street,New York,10030,"(40.81475074300005, -73.94121462399994)",212-491-2070,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Fort Washington,161,535 West 179th Street,New York,10033,"(40.847869967000065, -73.93386605299992)",212-927-3533,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - George Bruce,162,518 West 125th Street,New York,10027,"(40.81377512500006, -73.9570640419999)",212-662-9727,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Hamilton Fish Park,163,415 East Houston Street,New York,10002,"(40.71939791400007, -73.97960679199991)",212-673-2290,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Hamilton Grange,164,503 West 145th Street,New York,10031,"(40.825686225000084, -73.94801957999994)",212-926-2147,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Harlem,165,9 West 124th Street,New York,10027,"(40.806185509000045, -73.94330281899994)",212-348-5620,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Hudson Park,166,66 Leroy Street,New York,10014,"(40.72989555000004, -74.00532911899995)",212-243-6876,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Inwood,167,4790 Broadway,New York,10034,"(40.86573036000004, -73.92585455099993)",212-942-2445,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Jefferson Market,168,425 Avenue of Americas,New York,10011,"(40.734605668000086, -73.99917008699992)",212-243-4334,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Macomb's Bridge,169,2650 Adam Clayton Powell Jr Blvd.,New York,10039,"(40.82658319600006, -73.93600461099993)",212-281-4900,Free,http://www.nypl.org/branch/services/wifi.html
